dir_name,RGB,,LAB,,,,,gamma_ed_RGB
1_1,"[46.83283759666865, 127.46995835812017, 188.86555621653778]",,"[10.49, -13.48, -13.81]",,,,,"[0.02823951960456275, 0.21393211338120585, 0.5080729370294039]"
1_10,"[45.15526472337894, 124.6252230814991, 195.66329565734682]",,"[10.19, -11.61, -14.57]",,,,,"[0.02640719255575051, 0.20375441985180573, 0.5498898700667781]"
1_11,"[30.97263533610946, 119.10291493158834, 220.04164187983343]",,"[9.05, -8.69, -18.03]",,,,,"[0.013682105165228633, 0.1848177062745032, 0.7159991758997926]"
1_12,"[39.893515764425935, 123.57822724568709, 211.76561570493755]",,"[9.87, -9.23, -16.44]",,,,,"[0.021118773516515723, 0.20008123111850384, 0.6567374686421767]"
1_13,"[43.03747769185009, 121.46103509815586, 211.41225461035097]",,"[9.66, -8.9, -16.13]",,,,,"[0.02419575420667881, 0.1927722625105451, 0.6542734729130393]"
1_14,"[44.224866151100535, 118.85068411659726, 207.25758477096966]",,"[9.4, -7.57, -16.57]",,,,,"[0.025421753310210304, 0.18397842485412924, 0.6257070230203292]"
1_15,"[41.93099345627603, 127.14872099940511, 212.21653777513384]",,"[10.08, -10.19, -16.14]",,,,,"[0.02308498143098473, 0.21276830420757625, 0.6598896086770045]"
1_16,"[43.728138013087445, 120.07614515169541, 204.48423557406306]",,"[9.43, -8.57, -16.62]",,,,,"[0.02490457137380675, 0.18807697517704927, 0.6070509992675243]"
1_17,"[40.85246876859013, 117.48126115407496, 206.5056513979774]",,"[9.38, -8.24, -16.42]",,,,,"[0.02203146794214246, 0.17946059244880933, 0.620616286719584]"
1_2,"[44.3896490184414, 126.99226650803094, 196.84711481261155]",,"[10.27, -12.3, -14.21]",,,,,"[0.025594692468498274, 0.21220282667515686, 0.5573700550637963]"
1_3,"[35.24806662700773, 122.19869125520523, 216.85425342058298]",,"[9.32, -9.0, -17.71]",,,,,"[0.017012208069923523, 0.19530079443459938, 0.6928216434616249]"
1_4,"[33.61392028554432, 120.43188578227246, 218.75550267697798]",,"[9.21, -8.66, -17.84]",,,,,"[0.015689396820637174, 0.18927662323392427, 0.706593288292378]"
1_5,"[44.8691255205235, 128.03747769185009, 194.4646044021416]",,"[10.42, -12.56, -14.0]",,,,,"[0.026101797143483044, 0.2159972329038893, 0.5423757160917307]"
1_6,"[46.814991076740036, 129.0963712076145, 187.42474717430102]",,"[10.59, -13.63, -13.5]",,,,,"[0.028219648755922616, 0.21988137094115476, 0.4994566591380109]"
1_7,"[30.330160618679358, 117.57822724568709, 220.33848899464604]",,"[8.92, -8.14, -18.47]",,,,,"[0.013217935820736902, 0.17977833686131386, 0.7181804111699447]"
1_8,"[31.979773944080904, 120.04461629982154, 219.07971445568114]",,"[8.86, -8.5, -18.51]",,,,,"[0.014428614370691017, 0.1879708664600012, 0.7089574992309223]"
1_9,"[44.83759666864961, 129.56751933372993, 198.5550267697799]",,"[10.49, -12.66, -13.97]",,,,,"[0.02606827320288699, 0.22162258721157452, 0.5682658549202685]"
2_1,"[28.995240928019037, 92.45389649018442, 213.0321237358715]",,"[6.62, 2.46, -21.37]",,,,,"[0.012283226936524332, 0.10812600663810432, 0.6656132840689537]"
2_10,"[37.023200475907196, 103.22010707911957, 202.15229030339083]",,"[7.73, -0.72, -18.2]",,,,,"[0.01852041495980712, 0.1362463919189356, 0.5916186131230171]"
2_13,"[32.07792980368828, 99.33789411064842, 227.5145746579417]",,"[7.0, 3.29, -21.31]",,,,,"[0.014502608544614272, 0.12566892013680744, 0.7720929325282809]"
2_14,"[39.252825698988694, 102.27662105889351, 180.6656751933373]",,"[7.6, -5.45, -16.05]",,,,,"[0.02052150682135035, 0.1336298581440406, 0.460178185030904]"
2_16,"[37.89946460440214, 102.71564544913741, 184.75371802498512]",,"[7.8, -5.6, -15.49]",,,,,"[0.019292589742530817, 0.13484370606140358, 0.48371035964674197]"
2_2,"[30.72873289708507, 93.99583581201665, 217.14098750743605]",,"[6.82, 2.47, -21.26]",,,,,"[0.013504792048609167, 0.11192207256521197, 0.6948884724966969]"
2_3,"[30.638905413444377, 94.3224271267103, 218.01665675193337]",,"[6.56, 2.76, -21.52]",,,,,"[0.013439828661621394, 0.11273591928393276, 0.7012226927137178]"
2_4,"[31.366448542534204, 97.71505056513979, 219.55086258179654]",,"[7.12, 1.43, -21.01]",,,,,"[0.013971253260402628, 0.12139447922785059, 0.7124014111679818]"
2_5,"[34.861392028554434, 101.05948839976205, 227.96549672813802]",,"[7.26, 3.29, -21.05]",,,,,"[0.016693554931453813, 0.13029806410727252, 0.7755568004439437]"
2_6,"[31.44854253420583, 104.785246876859, 227.56870910172518]",,"[7.49, 1.58, -20.89]",,,,,"[0.01403197350904147, 0.1406523587700095, 0.772508301768187]"
2_8,"[29.545508625817966, 95.96847114812611, 214.29208804283164]",,"[6.99, 1.52, -20.95]",,,,,"[0.012663681385012709, 0.11689023779564536, 0.6745122853602431]"
2_9,"[33.34205829863177, 100.26412849494349, 222.84770969660917]",,"[7.25, 2.66, -20.98]",,,,,"[0.01547537057168057, 0.1281473041570154, 0.7367730496343733]"
4_10,"[35.68292682926829, 107.5871505056514, 185.22010707911957]",,"[9.04, -7.09, -15.12]",,,,,"[0.017374776419232265, 0.14874500402611915, 0.4864386338284561]"
4_2,"[32.54669839381321, 101.52171326591315, 184.76085663295657]",,"[7.48, -6.23, -17.1]",,,,,"[0.014859036407042524, 0.1315575858423498, 0.48375205149948947]"
4_3,"[33.93991671624033, 102.49375371802499, 185.8251041046996]",,"[7.52, -6.52, -16.78]",,,,,"[0.015948304945789502, 0.1342294027161114, 0.4899910788674408]"
4_5,"[33.13682331945271, 105.5698988697204, 196.82331945270673]",,"[7.7, -6.35, -17.83]",,,,,"[0.015314931990773096, 0.14289204050264048, 0.5572191187662018]"
4_6,"[32.96787626412849, 106.74895895300416, 196.15110053539559]",,"[7.65, -7.12, -17.27]",,,,,"[0.0151835921541984, 0.1462963834475944, 0.5529650163056642]"
4_9,"[32.788816180844734, 106.42236763831053, 191.21713265913147]",,"[7.7, -7.33, -17.34]",,,,,"[0.015045110196609125, 0.1453487211579645, 0.5223207856033386]"
5_1,"[33.772159428911365, 114.08566329565734, 199.94943486020227]",,"[8.63, -9.03, -16.32]",,,,,"[0.01581476247561419, 0.16853974607735064, 0.5772529952524716]"
5_10,"[38.40392623438429, 111.05056513979774, 176.8143961927424]",,"[8.4, -10.14, -14.72]",,,,,"[0.01974549273415765, 0.1591151751219906, 0.43863263922369544]"
5_11,"[36.84235574063058, 107.38429506246283, 177.52468768590126]",,"[8.2, -9.28, -15.2]",,,,,"[0.01836333905138406, 0.1481502244525178, 0.4425609998103241]"
5_12,"[38.17668054729328, 109.29565734681736, 172.24806662700774]",,"[8.38, -10.27, -14.3]",,,,,"[0.01954071393412433, 0.15380967634052264, 0.4138641597269706]"
5_13,"[38.43842950624628, 108.85008923259964, 174.86377156454492]",,"[8.04, -9.22, -14.99]",,,,,"[0.01977669373828881, 0.15247930183911104, 0.42794938351136314]"
5_2,"[31.26829268292683, 108.18143961927424, 205.0053539559786]",,"[7.74, -5.28, -18.35]",,,,,"[0.013898854505868231, 0.15049548933041396, 0.6105313872380296]"
5_3,"[28.635336109458656, 90.85008923259964, 198.9214753123141]",,"[6.32, -0.13, -20.1]",,,,,"[0.012038043784571191, 0.10425845572866191, 0.5706196963317846]"
5_4,"[27.61451516954194, 87.79179060083284, 197.78941106484237]",,"[6.24, 1.1, -20.01]",,,,,"[0.011358245667455014, 0.09711006212534795, 0.5633663134978819]"
5_5,"[30.122546103509816, 107.60797144556811, 208.48066627007734]",,"[7.68, -4.95, -18.7]",,,,,"[0.013069935034478616, 0.14880613045698693, 0.6340393966728781]"
5_6,"[33.606781677572876, 107.99464604402142, 187.15110053539559]",,"[8.1, -7.91, -16.25]",,,,,"[0.015683754944391847, 0.14994399920793958, 0.49782991458324044]"
5_7,"[29.766805472932777, 91.540749553837, 201.2938726948245]",,"[6.43, 0.02, -20.23]",,,,,"[0.012818597350924192, 0.10591389741961188, 0.5859960621267946]"
5_8,"[30.160023795359905, 91.80309339678763, 209.6829268292683]",,"[6.24, 1.33, -20.51]",,,,,"[0.013096579619886684, 0.10654669836242908, 0.6422926603557729]"
5_9,"[29.98750743604997, 105.66745984533016, 203.16359309934563]",,"[7.52, -4.97, -18.59]",,,,,"[0.012974192320555458, 0.1431719584283819, 0.5982827659242087]"
6_1,"[31.98572278405711, 115.11064842355741, 253.21891731112433]",,"[8.66, 1.92, -22.13]",,,,,"[0.014433092581802852, 0.17179416861322705, 0.984184347393062]"
6_10,"[31.86020226055919, 122.71861986912552, 254.62403331350387]",,"[8.83, 1.28, -22.87]",,,,,"[0.01433877416885944, 0.19709455997363623, 0.9966492426074087]"
6_11,"[25.08863771564545, 84.46281975014873, 192.23140987507435]",,"[5.94, 0.37, -19.91]",,,,,"[0.009774293259482038, 0.08966350674849996, 0.528537192729935]"
6_12,"[30.261154074955385, 99.51814396192742, 220.390243902439]",,"[7.1, -0.1, -20.47]",,,,,"[0.0131686357121116, 0.12614901418966243, 0.7185611029612567]"
6_15,"[27.34324806662701, 88.41225461035098, 188.66032123735872]",,"[6.13, -1.9, -19.25]",,,,,"[0.011181466668785257, 0.09853640131073117, 0.5068403452508105]"
6_16,"[35.45984533016062, 97.3866745984533, 211.8780487804878]",,"[6.91, 1.21, -20.22]",,,,,"[0.01718822321633436, 0.12054004485370566, 0.6575226005069196]"
6_2,"[28.116002379535992, 90.13265913146937, 189.94348602022606]",,"[6.38, -2.2, -18.69]",,,,,"[0.011689322262084094, 0.10255493647503096, 0.5145754202085655]"
6_20,"[33.85603807257585, 97.34681737061273, 222.68947055324213]",,"[6.97, 2.21, -20.81]",,,,,"[0.015881451831209693, 0.12043657586321443, 0.7355923464020011]"
6_3,"[29.386079714455683, 91.31885782272457, 194.41641879833432]",,"[5.82, -1.06, -19.86]",,,,,"[0.01255275562937789, 0.10538038690464775, 0.5420749186670069]"
6_4,"[32.163593099345626, 96.90243902439025, 218.32718619869127]",,"[6.63, 1.3, -21.11]",,,,,"[0.014567365774466202, 0.11928648229180225, 0.7034769877443442]"
6_5,"[34.261154074955385, 119.03390838786437, 253.42593694229626]",,"[8.87, 0.24, -21.53]",,,,,"[0.01620585473995186, 0.18458787011036043, 0.986015088168951]"
6_6,"[34.80725758477097, 125.68352171326592, 254.66091612135634]",,"[9.22, 0.2, -22.52]",,,,,"[0.016649223776871926, 0.2075069358237, 0.996977665946596]"
6_7,"[28.647233789411064, 90.98096371207615, 192.40273646638906]",,"[6.3, -1.6, -19.0]",,,,,"[0.012046102947760567, 0.10457098048325424, 0.5295914742460096]"
6_8,"[31.96014277215943, 95.96430696014278, 214.84711481261155]",,"[6.96, 1.08, -20.65]",,,,,"[0.014413842025213777, 0.11687961738294265, 0.6784542729547207]"
7_1,"[39.29506246281975, 103.01784651992861, 205.25520523497917]",,"[7.78, 0.37, -18.23]",,,,,"[0.02056057341942681, 0.13568297733034163, 0.6122041841121286]"
7_10,"[43.29149315883403, 105.79773944080904, 208.58060678167757]",,"[7.66, 0.68, -18.41]",,,,,"[0.024455059827914072, 0.14354624964404267, 0.6347230949930984]"
7_11,"[31.54015466983938, 100.95776323616894, 224.11481261154074]",,"[7.35, 1.11, -20.9]",,,,,"[0.014099915208818911, 0.1300218206232492, 0.7462674200676105]"
7_12,"[39.4824509220702, 104.83462224866152, 209.77691850089232]",,"[7.81, 0.07, -18.38]",,,,,"[0.02073442003646187, 0.14079268571490597, 0.6429405184945579]"
7_13,"[42.131469363474125, 120.36466389054135, 185.37477691850088]",,"[9.69, -10.7, -14.13]",,,,,"[0.0232839775831417, 0.1890495928945921, 0.4873453956478267]"
7_14,"[40.296847114812614, 109.6716240333135, 180.65377751338488]",,"[8.69, -8.59, -14.54]",,,,,"[0.021499904618239356, 0.15493748296986293, 0.460110695591413]"
7_15,"[35.34919690660321, 105.34205829863177, 223.51695419393218]",,"[7.56, 0.89, -20.07]",,,,,"[0.01709612840739082, 0.14223957390660283, 0.7417788456397097]"
7_16,"[37.132064247471746, 100.0089232599643, 208.04461629982154]",,"[7.62, 1.48, -18.91]",,,,,"[0.018615347020520052, 0.12746161669901318, 0.6310613832543847]"
7_17,"[43.189173111243306, 119.73170731707317, 187.05651397977394]",,"[9.47, -10.76, -14.23]",,,,,"[0.024350414900879646, 0.18691968047613527, 0.4972683466404255]"
7_18,"[43.75193337299227, 117.0089232599643, 174.65020820939915]",,"[9.36, -11.19, -12.97]",,,,,"[0.024929205221367757, 0.17791749294305667, 0.42678905640741666]"
7_19,"[36.2325996430696, 103.88637715645449, 216.4306960142772]",,"[7.4, 0.47, -19.55]",,,,,"[0.017839465808104003, 0.13811198657130874, 0.6897751368465261]"
7_2,"[27.046995835812016, 103.49613325401546, 245.92563950029745]",,"[7.04, 2.95, -23.11]",,,,,"[0.01099025075221885, 0.1370174855885843, 0.9209494656729798]"
7_20,"[35.94289113622843, 98.6775728732897, 210.1338488994646]",,"[7.25, 2.04, -19.68]",,,,,"[0.0175936567026891, 0.12391927312563518, 0.645404210681521]"
7_3,"[31.5086258179655, 103.27364663890542, 228.74360499702559]",,"[7.32, 1.92, -20.97]",,,,,"[0.014076511070228455, 0.13639575908106572, 0.7815553107238725]"
7_4,"[30.73230220107079, 105.42891136228435, 233.49315883402735]",,"[7.51, 1.76, -21.48]",,,,,"[0.013507377150466245, 0.1424880894172325, 0.8187562381210859]"
7_5,"[33.86377156454491, 100.5758477096966, 223.9155264723379]",,"[7.41, 1.79, -20.6]",,,,,"[0.01588760873864858, 0.1289877467305359, 0.7447694733780416]"
7_6,"[38.347412254610354, 99.91493158834028, 207.71743010113028]",,"[7.41, 1.91, -18.96]",,,,,"[0.019694449712452843, 0.12720961970978428, 0.6288322263916133]"
7_7,"[32.88637715645449, 104.88637715645449, 230.29506246281974]",,"[7.47, 1.89, -21.06]",,,,,"[0.015120470384588221, 0.14093986303449327, 0.7935961963766635]"
7_8,"[32.299821534800714, 102.17073170731707, 224.53063652587744]",,"[7.12, 2.16, -21.13]",,,,,"[0.014670694569204156, 0.1333380452846283, 0.7493986417309713]"
7_9,"[38.05770374776918, 114.07019631171922, 191.31647828673408]",,"[8.93, -8.62, -15.39]",,,,,"[0.019433996287239907, 0.16849091489638277, 0.5229277705568427]"
8_1,"[27.059488399762046, 106.90957763236169, 224.0410469958358]",,"[7.79, -1.91, -20.33]",,,,,"[0.010998275235531558, 0.14676376521310924, 0.7457127515540569]"
8_10,"[37.25461035098156, 104.25698988697204, 167.98691255205236]",,"[7.99, -7.81, -15.0]",,,,,"[0.01872254932880215, 0.13915613471523477, 0.39150491217575917]"
8_11,"[27.900654372397383, 93.08685306365258, 215.46876859012494]",,"[6.69, 0.91, -21.24]",,,,,"[0.011546471907899819, 0.10967502511403414, 0.6828853853136115]"
8_12,"[27.136823319452706, 90.84354550862582, 211.57763236168947]",,"[6.63, 1.72, -21.67]",,,,,"[0.011048026668070449, 0.10424284381326475, 0.6554259835148962]"
8_13,"[36.61213563355146, 104.29922665080309, 170.84889946460441]",,"[8.04, -7.52, -15.26]",,,,,"[0.018164505470126466, 0.13927542200174808, 0.40644249429722296]"
8_14,"[27.726948245092206, 91.70434265318264, 215.2849494348602]",,"[6.51, 2.23, -22.03]",,,,,"[0.011431990451700269, 0.10630824310176341, 0.681573380633529]"
8_15,"[90.07317073170732, 201.51635930993456, 247.52944675788223]",,"[16.29, 0.12, -27.47]",,,,,"[0.10241441741488194, 0.5874503212149773, 0.9346450774657168]"
8_16,"[26.6656751933373, 88.72456870910173, 215.0487804878049]",,"[6.32, 3.38, -22.16]",,,,,"[0.010746954618129556, 0.0992589512193624, 0.6798898904530266]"
8_17,"[102.29446757882214, 221.09934562760262, 240.26948245092208]",,"[17.69, -1.6, -26.48]",,,,,"[0.13367907673432536, 0.7237888750821175, 0.8735873026899947]"
8_18,"[95.25817965496728, 222.30636525877455, 238.1743010113028]",,"[17.63, -2.0, -28.03]",,,,,"[0.11508683268858395, 0.7327383750760835, 0.8564124504061457]"
8_19,"[87.44616299821534, 208.99524092801903, 243.21713265913147]",,"[16.8, 0.28, -29.36]",,,,,"[0.09632078094168318, 0.6375642212518531, 0.898087614888586]"
8_2,"[38.24152290303391, 112.77156454491374, 234.57108863771563]",,"[8.62, 0.44, -19.57]",,,,,"[0.019599018623825633, 0.16442037418594607, 0.8273398873517184]"
8_20,"[99.87150505651398, 217.5086258179655, 241.62403331350387]",,"[17.59, -1.06, -26.83]",,,,,"[0.12709328896427474, 0.6975437290541255, 0.8847969879323176]"
